Date,n_long,n_short,gross_exposure,gross_pnl,costs,net_pnl,ret_on_exposure,ret_on_capital,equity
2021-03-05,1,3,35.0,0.3989003033509875,0.17500000000000002,0.22390030335098746,0.006397151524313928,0.006792168340361493,0.4427440022012275
2021-03-19,9,0,45.0,-0.8410755200825287,0.225,-1.0660755200825287,-0.023690567112945083,-0.03234012767096606,0.43225514570322543
2021-03-26,6,1,40.0,-0.5001009219407049,0.2,-0.7001009219407048,-0.01750252304851762,-0.02123803874266871,0.4246895900527144
2021-04-02,0,3,30.0,-3.480126225397042,0.15000000000000002,-3.630126225397042,-0.12100420751323474,-0.1101223537915721,0.37330036276926515
2021-04-09,3,2,35.0,0.26930507065837106,0.17500000000000002,0.09430507065837104,0.0026944305902391725,0.002860808608451206,0.3743061946860581
2021-04-16,6,0,30.0,-0.5605297698010631,0.15000000000000002,-0.7105297698010631,-0.023684325660035435,-0.021554404952108502,0.36544100487454484
2021-04-23,9,0,45.0,0.7044951246180492,0.225,0.4794951246180492,0.010655447213734428,0.014545811488620473,0.3693349422117196
2021-04-30,1,4,45.0,-2.211702232381719,0.225,-2.436702232381719,-0.054148938497371533,-0.07391902337768,0.3493358471409669
2021-05-07,1,3,35.0,1.6164274889173114,0.17500000000000002,1.4414274889173113,0.04118364254049461,0.04372668553201292,0.36372276979620133
2021-05-14,4,0,20.0,0.5130270269915677,0.1,0.4130270269915677,0.020651351349578385,0.0125294564342241,0.3712341365091045
2021-05-21,1,4,45.0,-0.7897396845617027,0.225,-1.0147396845617027,-0.02254977076803784,-0.03078282010357092,0.36286289182955367
2021-05-28,1,0,5.0,0.27432712215320953,0.025,0.24932712215320954,0.04986542443064191,0.007563508222799394,0.3809572039407645
2021-06-04,0,2,20.0,0.7355401269149875,0.1,0.6355401269149875,0.03177700634574938,0.019279543012920466,0.3930628834278491
2021-06-11,1,0,5.0,-0.3562062937062932,0.025,-0.3812062937062932,-0.07624125874125864,-0.01156415279705788,0.3630952744308413
2021-06-18,9,0,45.0,1.7455343939477246,0.225,1.5205343939477245,0.033789653198838324,0.04612644742518584,0.37536413783199646
2021-06-25,1,1,15.0,-0.25860330670450793,0.07500000000000001,-0.33360330670450794,-0.022240220446967197,-0.010120083734260248,0.3670159566587271
2021-07-02,3,0,15.0,0.471770182119427,0.07500000000000001,0.396770182119427,0.026451345474628466,0.01203629396234648,0.37672402252300835
2021-07-16,1,0,5.0,-0.0549011052937759,0.025,-0.07990110529377589,-0.015980221058755177,-0.0024238544995873997,0.3707038893649472
2021-07-23,2,0,10.0,-0.098782786741336,0.05,-0.148782786741336,-0.0148782786741336,-0.004513427264594196,0.3651884535933903
2021-07-30,2,3,40.0,0.25750583864112,0.2,0.057505838641119966,0.0014376459660279991,0.00174447881828843,0.36571346530053883
2021-08-06,2,0,10.0,-0.10545019383724985,0.05,-0.15545019383724984,-0.015545019383724984,-0.004715687604180144,0.3600284423935527
2021-08-13,2,0,10.0,0.08367580193147484,0.05,0.03367580193147483,0.0033675801931474835,0.0010215784091935176,0.3612408670451269
2021-08-20,6,1,40.0,0.8362261393331949,0.2,0.6362261393331949,0.015905653483329875,0.019300353667297914,0.3669866391003644
2021-08-27,1,0,5.0,1.0044105854049723,0.025,0.9794105854049723,0.19588211708099446,0.029711087795956888,0.4388727589077826
2021-09-03,0,3,30.0,0.04927229132449251,0.15000000000000002,-0.10072770867550751,-0.0033575902891835835,-0.0030556437111674884,0.4373992039942866
2021-09-10,3,0,15.0,0.17836671699074103,0.07500000000000001,0.10336671699074101,0.006891114466049401,0.0031356998274853884,0.4404133719763702
2021-09-17,0,2,20.0,-0.39207946973169205,0.1,-0.49207946973169203,-0.0246039734865846,-0.014927566176692855,0.42957745304912626
2021-09-24,1,1,15.0,0.8298272969418474,0.07500000000000001,0.7548272969418475,0.050321819796123164,0.02289820063661137,0.45119457222994197
2021-10-01,10,2,70.0,1.5068792975272849,0.35,1.156879297527285,0.016526847107532643,0.035094722162866666,0.4586513959409348
2021-10-08,1,1,15.0,0.08670026664341468,0.07500000000000001,0.01170026664341467,0.0007800177762276446,0.00035493556498050304,0.4590091521828603
2021-10-15,2,1,20.0,0.3933432500718448,0.1,0.2933432500718448,0.01466716250359224,0.008898767470061766,0.46574151400856245
2021-10-22,14,0,70.0,-1.3705291830841593,0.35000000000000003,-1.7205291830841594,-0.024578988329773704,-0.05219342569488623,0.4542940587710549
2021-10-29,11,0,55.0,1.7719640144742765,0.275,1.4969640144742766,0.027217527535895937,0.04541142389536554,0.46665881982505
2021-11-05,0,1,10.0,-0.03246251352604812,0.05,-0.08246251352604812,-0.008246251352604813,-0.002501556564486831,0.4628106339008627
2021-11-12,1,3,35.0,0.5114512811374161,0.17500000000000002,0.33645128113741607,0.009612893746783317,0.010206478980215025,0.4672595833494332
2021-11-19,4,1,30.0,-0.927122633135472,0.15000000000000002,-1.0771226331354722,-0.035904087771182404,-0.03267524937650914,0.450483054256929
2021-11-26,20,0,100.0,1.0147038446767072,0.5,0.5147038446767072,0.005147038446767072,0.01561389201422916,0.4528017078568065
2021-12-03,1,0,5.0,-0.09950112384189469,0.025,-0.12450112384189468,-0.024900224768378935,-0.003776826467147406,0.4415268435556662
